,playerID,yearID,gameNum,gameID,teamID,lgID,GP,startingPos
0,pujolal01,2015,0,NLS201507140,LAA,AL,1,3
1,troutmi01,2015,0,NLS201507140,LAA,AL,1,8
2,keuchda01,2015,0,NLS201507140,HOU,AL,1,1
3,altuvjo01,2015,0,NLS201507140,HOU,AL,1,4
4,vogtst01,2015,0,NLS201507140,OAK,AL,1,
5,donaljo02,2015,0,NLS201507140,TOR,AL,1,5
6,martiru01,2015,0,NLS201507140,TOR,AL,1,
7,kipnija01,2015,0,NLS201507140,CLE,AL,1,
8,cruzne02,2015,0,NLS201507140,SEA,AL,1,0
9,hernafe02,2015,0,NLS201507140,SEA,AL,1,
10,jonesad01,2015,0,NLS201507140,BAL,AL,1,7
11,machama01,2015,0,NLS201507140,BAL,AL,1,
12,brittza01,2015,0,NLS201507140,BAL,AL,1,
13,fieldpr01,2015,0,NLS201507140,TEX,AL,1,
14,archech01,2015,0,NLS201507140,TBA,AL,1,
15,holtbr01,2015,0,NLS201507140,BOS,AL,1,
16,perezsa02,2015,0,NLS201507140,KCA,AL,1,2
17,escobal02,2015,0,NLS201507140,KCA,AL,1,6
18,cainlo01,2015,0,NLS201507140,KCA,AL,1,9
19,moustmi01,2015,0,NLS201507140,KCA,AL,1,
20,daviswa01,2015,0,NLS201507140,KCA,AL,1,
21,priceda01,2015,0,NLS201507140,DET,AL,1,
22,martijd02,2015,0,NLS201507140,DET,AL,1,
23,iglesjo01,2015,0,NLS201507140,DET,AL,1,
24,doziebr01,2015,0,NLS201507140,MIN,AL,1,
25,perkigl01,2015,0,NLS201507140,MIN,AL,1,
26,gardnbr01,2015,0,NLS201507140,NYA,AL,1,
27,betande01,2015,0,NLS201507140,NYA,AL,1,
28,teixema01,2015,0,NLS201507140,NYA,AL,1,
29,rodrifr03,2015,0,NLS201507140,MIL,NL,1,
30,braunry02,2015,0,NLS201507140,MIL,NL,1,
31,peraljh01,2015,0,NLS201507140,SLN,NL,1,6
32,molinya01,2015,0,NLS201507140,SLN,NL,1,
33,rizzoan01,2015,0,NLS201507140,CHN,NL,1,0
34,bryankr01,2015,0,NLS201507140,CHN,NL,1,
35,goldspa01,2015,0,NLS201507140,ARI,NL,1,3
36,polloaj01,2015,0,NLS201507140,ARI,NL,1,
37,greinza01,2015,0,NLS201507140,LAN,NL,1,1
38,pederjo01,2015,0,NLS201507140,LAN,NL,1,7
39,gonzaad01,2015,0,NLS201507140,LAN,NL,1,
40,kershcl01,2015,0,NLS201507140,LAN,NL,1,
41,grandya01,2015,0,NLS201507140,LAN,NL,1,
42,poseybu01,2015,0,NLS201507140,SFG,NL,1,2
43,crawfbr01,2015,0,NLS201507140,SFG,NL,1,
44,panikjo01,2015,0,NLS201507140,SFG,NL,1,
45,bumgama01,2015,0,NLS201507140,SFG,NL,1,
46,degroja01,2015,0,NLS201507140,NYN,NL,1,
47,harpebr03,2015,0,NLS201507140,WAS,NL,1,9
48,uptonju01,2015,0,NLS201507140,SDN,NL,1,
49,mccutan01,2015,0,NLS201507140,PIT,NL,1,8
50,colege01,2015,0,NLS201507140,PIT,NL,1,
51,melanma01,2015,0,NLS201507140,PIT,NL,1,
52,frazito01,2015,0,NLS201507140,CIN,NL,1,5
53,chapmar01,2015,0,NLS201507140,CIN,NL,1,
54,lemahdj01,2015,0,NLS201507140,COL,NL,1,4
55,arenano01,2015,0,NLS201507140,COL,NL,1,
56,tulowtr01,2015,0,NLS201507140,COL,NL,1,
57,santihe01,2015,0,NLS201507141,LAA,AL,,
58,grayso01,2015,0,NLS201507142,OAK,AL,,
59,bautijo02,2015,0,NLS201507143,TOR,AL,,
60,millesh01,2015,0,NLS201507144,ATL,NL,,
61,martica04,2015,0,NLS201507145,SLN,NL,,
62,wachami01,2015,0,NLS201507146,SLN,NL,,
63,rosentr01,2015,0,NLS201507147,SLN,NL,,
64,hollima01,2015,0,NLS201507148,SLN,NL,,
65,gordode01,2015,0,NLS201507149,MIA,NL,,
66,stantmi03,2015,0,NLS201507150,MIA,NL,,
67,scherma01,2015,0,NLS201507151,WAS,NL,,
68,odayda01,2015,0,NLS201507152,BAL,AL,,
69,papeljo01,2015,0,NLS201507153,PHI,NL,,
70,burneaj01,2015,0,NLS201507154,PIT,NL,,
71,boxbebr01,2015,0,NLS201507155,TBA,AL,,
72,gordoal01,2015,0,NLS201507156,KCA,AL,,
73,herreke01,2015,0,NLS201507157,KCA,AL,,
74,cabremi01,2015,0,NLS201507158,DET,AL,,
75,salech01,2015,0,NLS201507159,CHA,AL,,
